###################################
#####      Build Network      #####
###################################
---------------- Network initialized ----------------
[Network netG] Total number of parameters: 11.388 M
[Network netD] Total number of parameters: 2.765 M
-----------------------------------------------------

###################################
#####      Start Traning      #####
###################################
===========REUSING EARLIER RESULT============
Epoch: 17/20  |  Step: 6200/12886  |  lr: 0.000200  |  G_loss: 2.271794  |  D_loss: 0.447747  |  Idt_loss: 1.974542  |  Time: 0.590
Epoch: 17/20  |  Step: 6300/12886  |  lr: 0.000200  |  G_loss: 2.198769  |  D_loss: 0.499311  |  Idt_loss: 1.920062  |  Time: 0.791
Epoch: 17/20  |  Step: 6400/12886  |  lr: 0.000200  |  G_loss: 2.242649  |  D_loss: 0.461963  |  Idt_loss: 1.941856  |  Time: 0.774
Epoch: 17/20  |  Step: 6500/12886  |  lr: 0.000200  |  G_loss: 2.097819  |  D_loss: 0.413215  |  Idt_loss: 1.780199  |  Time: 0.665
Epoch: 17/20  |  Step: 6600/12886  |  lr: 0.000200  |  G_loss: 2.137391  |  D_loss: 0.390683  |  Idt_loss: 1.756789  |  Time: 0.798
Epoch: 17/20  |  Step: 6700/12886  |  lr: 0.000200  |  G_loss: 2.153438  |  D_loss: 0.332549  |  Idt_loss: 1.725922  |  Time: 0.771
Epoch: 17/20  |  Step: 6800/12886  |  lr: 0.000200  |  G_loss: 2.333175  |  D_loss: 0.274079  |  Idt_loss: 1.752596  |  Time: 0.724
Epoch: 17/20  |  Step: 6900/12886  |  lr: 0.000200  |  G_loss: 6.453809  |  D_loss: 16.245569  |  Idt_loss: 4.734138  |  Time: 0.799
Epoch: 17/20  |  Step: 7000/12886  |  lr: 0.000200  |  G_loss: 3.153594  |  D_loss: 0.465513  |  Idt_loss: 2.790619  |  Time: 0.795
Epoch: 17/20  |  Step: 7100/12886  |  lr: 0.000200  |  G_loss: 2.637986  |  D_loss: 0.430051  |  Idt_loss: 2.307909  |  Time: 0.732
Epoch: 17/20  |  Step: 7200/12886  |  lr: 0.000200  |  G_loss: 2.550849  |  D_loss: 0.467679  |  Idt_loss: 2.251373  |  Time: 0.659
Epoch: 17/20  |  Step: 7300/12886  |  lr: 0.000200  |  G_loss: 2.620369  |  D_loss: 0.486877  |  Idt_loss: 2.196804  |  Time: 0.771
Epoch: 17/20  |  Step: 7400/12886  |  lr: 0.000200  |  G_loss: 2.424645  |  D_loss: 0.444755  |  Idt_loss: 2.140065  |  Time: 0.736
Epoch: 17/20  |  Step: 7500/12886  |  lr: 0.000200  |  G_loss: 2.267429  |  D_loss: 0.418255  |  Idt_loss: 1.936513  |  Time: 0.732
Epoch: 17/20  |  Step: 7600/12886  |  lr: 0.000200  |  G_loss: 2.519380  |  D_loss: 0.481652  |  Idt_loss: 2.222981  |  Time: 0.799
Epoch: 17/20  |  Step: 7700/12886  |  lr: 0.000200  |  G_loss: 2.258431  |  D_loss: 0.377928  |  Idt_loss: 1.921001  |  Time: 0.803
Epoch: 17/20  |  Step: 7800/12886  |  lr: 0.000200  |  G_loss: 2.180087  |  D_loss: 0.390649  |  Idt_loss: 1.832071  |  Time: 0.772
Epoch: 17/20  |  Step: 7900/12886  |  lr: 0.000200  |  G_loss: 2.440442  |  D_loss: 0.362908  |  Idt_loss: 2.081951  |  Time: 0.796
Epoch: 17/20  |  Step: 8000/12886  |  lr: 0.000200  |  G_loss: 2.246881  |  D_loss: 0.362833  |  Idt_loss: 1.805682  |  Time: 0.808
Epoch: 17/20  |  Step: 8100/12886  |  lr: 0.000200  |  G_loss: 2.386211  |  D_loss: 0.373704  |  Idt_loss: 2.038427  |  Time: 0.788
Epoch: 17/20  |  Step: 8200/12886  |  lr: 0.000200  |  G_loss: 2.330954  |  D_loss: 0.332942  |  Idt_loss: 1.954150  |  Time: 0.688
Epoch: 17/20  |  Step: 8300/12886  |  lr: 0.000200  |  G_loss: 2.570733  |  D_loss: 0.254838  |  Idt_loss: 1.979789  |  Time: 0.769
Epoch: 17/20  |  Step: 8400/12886  |  lr: 0.000200  |  G_loss: 2.630069  |  D_loss: 0.255707  |  Idt_loss: 1.927456  |  Time: 0.646
Epoch: 17/20  |  Step: 8500/12886  |  lr: 0.000200  |  G_loss: 2.625971  |  D_loss: 0.216547  |  Idt_loss: 2.052547  |  Time: 0.764
Epoch: 17/20  |  Step: 8600/12886  |  lr: 0.000200  |  G_loss: 2.656034  |  D_loss: 0.225886  |  Idt_loss: 2.025320  |  Time: 0.792
